Date,Recovery
1,28
2,30
3,36
4,39
5,52
6,61
7,107
8,126
9,143
10,222
11,284
12,472
13,623
14,852
15,1124
16,1487
17,2011
18,2616
19,3244
20,3946
21,4683
22,5150
23,6295
24,8058
25,9395
26,10865
27,12583
28,14352
29,16121
30,18177
