Date,Confirmed Count
1,555
2,653
3,941
4,1434
5,2118
6,2927
7,5578
8,6166
9,8234
10,9927
11,12038
12,16787
13,19881
14,23892
15,27636
16,30818
17,34392
18,37121
19,40151
20,42763
21,44803
22,45222
23,60370
24,66887
25,69032
26,71226
27,73260
28,75138
29,75641
30,76199
